NGRIP CH4 DATA:,,,,,,,
Column 1: NGRIP depth (m),,,,,,,
"Column 2: Gas age, ss09sea06bm scale",,,,,,,
"Column 3: Gas age, AICC 2012 scale (Veres et al., 2013, Clim. Past 9)",,,,,,,
Column 4: CH4 concentration (ppb),,,,,,,
Column 5: 1-sigma uncertainty CH4 concentration (ppb),,,,,,,
Column 6: Published in,,,,,,,
,,,,,,,
1,2,3,4,5,6,,
depth,age ss09sea06bm,age AICC 2012,ch4,error,published in,,
(m),(years BP),(years BP),(ppb),(ppb),,,
1638.475,14935.6,15196.0,527.1,5.9,Schilt et al. (2010),,
1639.575,14980.8,15243.9,516.8,5.9,Baumgartner et al. (2012),,
1639.625,14982.9,15246.0,516.1,5.9,Baumgartner et al. (2012),,
1641.225,15049.0,15318.3,502.1,5.9,Schilt et al. (2010),,
1642.325,15096.2,15368.6,491.8,5.9,Baumgartner et al. (2012),,
1643.425,15142.9,15418.1,494.9,5.9,Baumgartner et al. (2012),,
1643.975,15166.0,15441.7,497.4,5.9,Schilt et al. (2010),,
1644.525,15189.6,15466.7,494.9,5.9,Baumgartner et al. (2012),,
1645.625,15237.5,15518.3,505.4,5.9,Baumgartner et al. (2012),,
1646.725,15283.4,15571.8,511.1,5.9,Schilt et al. (2010),,
1648.375,15354.8,15652.0,503.9,5.9,Baumgartner et al. (2012),,
1649.475,15408.0,15706.2,501.4,5.9,Schilt et al. (2010),,
1650.525,15455.2,15757.5,503.7,5.9,Baumgartner et al. (2012),,
1652.225,15526.8,15834.2,501.7,5.9,Schilt et al. (2010),,
1653.325,15571.7,15883.0,494.3,5.9,Baumgartner et al. (2012),,
1654.975,15635.6,15955.2,486.1,5.9,Schilt et al. (2010),,
1656.075,15678.6,16002.8,485.8,5.9,Baumgartner et al. (2012),,
1657.725,15745.4,16078.0,474.4,5.9,Schilt et al. (2010),,
1659.325,15806.4,16151.2,486.6,5.9,Baumgartner et al. (2012),,
1659.925,15829.9,16178.4,490.2,5.9,Baumgartner et al. (2012),,
1660.475,15850.2,16203.8,516.1,5.9,Schilt et al. (2010),,
1660.525,15851.8,16206.1,480.0,5.9,Baumgartner et al. (2012),,
1661.025,15871.9,16229.3,481.2,5.9,Baumgartner et al. (2012),,
1662.675,15938.6,16303.7,482.7,5.9,Schilt et al. (2010),,
1664.875,16023.5,16399.3,504.6,5.9,Baumgartner et al. (2012),,
1664.925,16025.2,16401.5,490.0,5.9,Baumgartner et al. (2012),,
1665.975,16059.8,16447.9,493.4,5.9,Schilt et al. (2010),,
1667.075,16097.3,16497.9,476.6,5.9,Baumgartner et al. (2012),,
1668.725,16153.3,16572.6,467.4,5.9,Schilt et al. (2010),,
1669.825,16187.3,16619.5,479.0,5.9,Baumgartner et al. (2012),,
1670.925,16219.7,16668.8,468.9,5.9,Baumgartner et al. (2012),,
1671.475,16235.3,16694.3,453.1,5.9,Schilt et al. (2010),,
1672.575,16267.0,16745.4,465.0,5.9,Baumgartner et al. (2012),,
1672.675,16269.2,16750.1,451.9,5.9,Baumgartner et al. (2012),,
1674.225,16316.9,16818.5,500.1,5.9,Schilt et al. (2010),,
1674.515,16326.1,16832.6,444.7,5.9,Baumgartner et al. (2012),,
1675.325,16350.8,16872.3,443.3,5.9,Baumgartner et al. (2012),,
1676.425,16382.9,16925.3,437.3,5.9,Baumgartner et al. (2012),,
1676.970,16398.4,16950.3,437.7,5.9,Schilt et al. (2010),,
1677.525,16414.4,16975.4,441.4,5.9,Baumgartner et al. (2012),,
1679.725,16475.5,17070.8,447.7,5.9,Schilt et al. (2010),,
1680.825,16504.8,17118.5,445.4,5.9,Baumgartner et al. (2012),,
1681.925,16533.7,17167.4,431.3,5.9,Baumgartner et al. (2012),,
1682.475,16548.6,17192.8,432.7,5.9,Schilt et al. (2010),,
1683.025,16564.0,17218.5,419.9,5.9,Baumgartner et al. (2012),,
1683.095,16566.0,17222.0,422.1,5.9,Baumgartner et al. (2012),,
1684.675,16611.1,17298.0,422.2,5.9,Baumgartner et al. (2012),,
1684.725,16612.3,17300.3,442.1,5.9,Baumgartner et al. (2012),,
1685.225,16627.0,17323.0,432.4,5.9,Schilt et al. (2010),,
1686.325,16657.6,17372.4,443.8,5.9,Baumgartner et al. (2012),,
1687.425,16689.3,17424.4,435.6,5.9,Baumgartner et al. (2012),,
1687.975,16704.8,17451.1,412.1,5.9,Schilt et al. (2010),,
1689.625,16750.4,17531.4,423.2,5.9,Baumgartner et al. (2012),,
1690.725,16782.4,17581.8,426.7,5.9,Schilt et al. (2010),,
1691.825,16814.4,17629.1,411.2,5.9,Baumgartner et al. (2012),,
1692.925,16846.7,17681.9,399.0,5.9,Baumgartner et al. (2012),,
1693.505,16864.6,17710.1,392.4,5.9,Schilt et al. (2010),,
1695.125,16916.9,17782.8,394.8,5.9,Baumgartner et al. (2012),,
1696.225,16954.6,17832.6,401.7,5.9,Schilt et al. (2010),,
1697.325,16992.2,17882.8,403.5,5.9,Baumgartner et al. (2012),,
1698.425,17031.7,17933.9,405.2,5.9,Baumgartner et al. (2012),,
1698.975,17050.0,17959.8,401.4,5.9,Schilt et al. (2010),,
