Depth (m),[CH4] (ppb)
2628.557,393.8
2630.371,394.5
2630.371,392.4
2632.371,375.2
2632.371,373.0
2634.632,360.3
2634.632,357.6
2636.374,358.6
2638.376,361.1
2638.376,356.9
2640.587,361.8
2642.377,364.4
2642.377,364.1
2644.378,368.2
2644.378,363.4
2646.589,374.5
2648.38,370.1
2650.382,372.6
2650.382,373.0
2652.5855,365.0
2652.593,365.4
2654.386,371.9
2654.391,366.7
2656.38,364.2
2658.602,375.2
2660.388,374.2
2660.403,374.0
2662.385,377.8
2662.39,386.7
2665.091,368.6
2666.383,361.7
2668.395,366.0
2670.601,362.0
2672.393,366.9
2672.398,369.1
2674.395,373.5
2676.62,361.9
2678.392,361.8
2680.41,376.7
2682.626,360.7
2684.402,344.1
2686.404,364.7
2688.6375,355.1
2690.427,359.7
2692.413,363.0
2695.1175,360.6
2696.423,360.4
2698.415,358.1
2698.42,359.4
2700.515,363.1
2702.422,368.1
2702.437,366.7
2704.4355,358.2
2706.631,358.4
2708.425,358.3
2710.42,363.7
2712.631,361.0
2712.636,363.0
2714.419,362.1
2716.438,369.7
2718.626,377.6
2720.43,382.7
2720.435,376.5
2722.433,367.6
2725.131,379.5
2726.415,384.8
2728.41,372.0
2730.429,385.5
2732.413,392.2
2734.411,386.9
2736.41,378.8
2738.404,377.7
2740.408,381.4
2740.4215,381.3
2742.41,384.5
2744.417,389.6
2816.329,383.1
2818.476,389.8
2820.3365,403.6
2824.47,391.0
2832.311,394.2
2834.3225,406.9
2836.46,396.4
2838.309,389.1
2842.455,391.1
2844.317,400.1
2846.3,419.9
2850.31,397.2
2858.288,393.9
2862.283,410.4
2864.267,409.9
2866.429,400.5
2868.278,413.0
2880.2775,510.2
2884.412,500.0
2888.26,396.0
2890.258,393.2
2892.257,400.3
2896.401,404.6
2900.246,416.4
2902.393,425.0
2906.238,470.8
3000.845,572.1
3008.838,566.9
3010.836,552.9
3011.835,563.0
3012.873,554.6
3013.832,555.9
3013.8445,553.6
3015.8925,552.4
3016.829,569.2
3019.01,583.0
3019.8355,575.8
3022.821,435.1
3024.8305,444.0
3036.989,434.4
3038.801,446.4
3041.797,442.4
3041.8095,440.7
3043.795,439.7
3043.8075,443.8
3045.579,441.6
3045.5915,441.5
3062.27,407.3
3062.272,401.5
3064.77,479.0
3071.452,410.6
3072.762,407.1
3073.273,409.5
3078.255,422.2
3080.753,430.4
